,tower,lat,lon,time_UTC,date_UTC,time_solar,NDVI,NDVI-UQ,albedo,albedo-UQ,BESSinst,ESI,ESIdaily,ESIdailyUncertainty,ETdaily,ETdailyUncertainty,ETinstUncertainty,EmisWB,GPP,LST,LST_err,MOD16inst,PET,PTJPLSMcanopy,PTJPLSMinst,PTJPLSMinterception,PTJPLSMsoil,RH,Rg,Rn,SM,STICcanopy,STICinst,Ta,WUE,height,radiance_2,radiance_4,radiance_5,view_zenith
4,US-Ha2,42.5393,-72.1779,2020-04-20 11:54:42,2020-04-20,2020-04-20 07:05:59.304,0.6106119200000001,0.0050584179,0.04883077533333333,0.0050959866,0.0,0.0,1.0,0.0025199999,0.005,0.025199998,0.0,0.9540000000000001,5.579634899999999,305.3,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.6249678133333334,181.32154,0.0,0.27909068333333337,0.0,0.0,5.018812633333333,0.0,333.40325,9.642042666666667,9.680772333333332,8.746765333333334,28.30872066666667
7,US-Ha2,42.5393,-72.1779,2020-04-29 14:28:07,2020-04-29,2020-04-29 09:39:24.304,0.6204251133333333,0.12740909,0.10375236,0.12937629,165.9145,0.8938596099999999,1.0,0.00288,3.4474097666666665,0.028800000000000003,154.17594333333332,0.9533333333333333,3.7600442,272.82,0.96,579.9014066666666,356.61888666666664,0.6981479433333333,318.76948999999996,0.035003374,0.2667604433333333,0.45056942000000005,672.8393833333333,581.5569999999999,0.27576975000000004,0.27087253333333333,267.25264666666664,11.982691833333334,0.0,332.97131333333334,5.372734766666667,5.988110466666666,5.6144212,2.0675099333333335
13,US-Ha2,42.5393,-72.1779,2020-06-18 18:47:51,2020-06-18,2020-06-18 13:59:08.304,0.8956753900000001,0.009954087666666667,0.12422898466666667,0.010082202,292.55484333333334,0.8033468866666666,1.0,0.006000000000000001,4.830674883333333,0.06,149.96073800000002,0.9700000000000001,34.75785066666666,301.7866666666667,2.0,559.5580866666667,482.68017000000003,0.8730589566666667,387.64708333333334,0.11740213833333334,0.010181405499999999,0.55610828,728.0074500000001,560.5479633333333,0.15745344333333333,0.3384141866666666,159.42539799999997,26.258753333333335,0.0,331.84957333333335,8.77267,9.236425833333334,8.194757000000001,19.20130933333333
16,US-Ha2,42.5393,-72.1779,2020-06-19 18:00:02,2020-06-19,2020-06-19 13:11:19.304,0.8964849666666667,0.014853659,0.13334802333333332,0.015060183999999999,347.9766333333334,0.8138657666666665,0.9064001999999999,0.00528,2.4663010499999998,0.05279999999999999,152.57042166666665,0.9566666666666667,38.216364,299.0733333333333,1.76,638.78312,554.5094333333333,0.8819433533333333,452.0466633333333,0.10395502533333334,0.013963395566666667,0.5411138666666666,798.3737666666666,639.8151466666667,0.18246429,0.5454828733333333,266.61487273333336,26.623193333333333,0.0,332.38745,8.589627,9.048547666666666,7.998997,19.826798666666665
19,US-Ha2,42.5393,-72.1779,2020-06-21 11:31:41,2020-06-21,2020-06-21 06:42:58.304,0.9039447466666667,0.024649804,0.14250316,0.025010902,137.95013333333335,0.9148845533333333,1.0,0.00588,4.9392308,0.0588,15.836549,0.9673333333333334,17.033934333333335,294.32666666666665,1.96,157.21580666666668,124.99168833333333,0.34501627333333335,114.86423,0.6418601,0.011680948933333333,0.8782467033333333,248.18694666666667,157.38842666666667,0.19142236333333332,0.18114593,143.15174666666667,20.185597,0.0,334.5525,7.8615572,8.410898333333334,7.708656433333334,15.773947666666666
22,US-Ha2,42.5393,-72.1779,2020-06-22 17:13:10,2020-06-22,2020-06-22 12:24:27.304,0.8990739133333333,9.985982000000001e-05,0.056800946,9.991709e-05,11.486537666666665,0.8192703,1.0,0.00756,5.576100633333333,0.0756,233.13808666666668,0.9506666666666667,3.7988967666666666,305.8066666666667,2.52,648.9471133333333,570.2447933333334,0.8452096766666667,467.01892,0.14079421666666667,0.013431267333333335,0.5853198366666666,771.55105,650.11213,0.18437847,0.5806648766666668,334.83216,27.62410733333333,0.0,333.61566666666664,8.785769,9.201023666666666,8.061432333333334,17.234701
25,US-Ha2,42.5393,-72.1779,2020-06-23 16:25:09,2020-06-23,2020-06-23 11:36:26.304,0.9025428,0.0050468245,0.07566949,0.0050945436,113.06004666666666,0.8163907066666667,1.0,0.0063599995000000005,5.0925164333333335,0.063599996,287.58570333333336,0.9353333333333333,11.330677999999999,297.24,2.12,720.90938,637.4578366666666,0.8645764499999999,519.9407333333334,0.12272624666666666,0.011649758000000001,0.56449142,803.04093,722.2688333333334,0.18393953,0.20496696666666667,18.290301333333336,28.017891666666667,0.0,332.14366,8.284587,8.817279,7.653763533333333,21.535511
28,US-Ha2,42.5393,-72.1779,2020-07-04 12:28:49,2020-07-04,2020-07-04 07:40:06.304,0.5853198166666667,0.12863512000000002,0.12842523,0.12952365,214.24189,0.8282970399999999,1.0,0.00516,3.4886709833333334,0.051599998,44.345281666666665,0.9586666666666667,12.709342333333334,290.24,1.72,277.23295666666667,229.29776,0.3695984666666667,191.69969666666665,0.2756065433333333,0.3541056626666667,0.7915899333333334,430.3652233333333,328.3051566666667,0.19701906333333333,0.039336116666666664,280.6310466666667,18.373281333333335,0.0,332.69004333333334,7.449369133333334,8.034805166666667,7.290201866666667,11.240142666666666
31,US-Ha2,42.5393,-72.1779,2020-07-25 22:08:11,2020-07-25,2020-07-25 17:19:28.304,0.9181776333333334,0.12740912333333335,0.13480766,0.12938955,145.26469666666665,0.81385738,1.0,0.00492,6.052976833333333,0.0492,28.288707666666667,0.968,15.413957000000002,297.15333333333336,1.64,165.37864666666667,143.21509333333333,0.8528296466666667,116.5145,0.14112918,0.004945394566666666,0.58265712,245.97684333333333,165.50674333333333,0.17163815000000002,0.9116093,90.836426,26.057233999999998,0.0,333.8264933333333,8.444398833333333,8.945707333333333,8.0286195,7.641668633333334
34,US-Ha2,42.5393,-72.1779,2020-07-29 20:33:20,2020-07-29,2020-07-29 15:44:37.304,0.9184482900000001,0.12757922,0.13086593,0.12939134,24.60061,0.7951525,1.0,0.0063599995000000005,3.529772683333333,0.063599996,130.35506999999998,0.9646666666666667,2.8682436999999994,299.74,2.12,333.565,294.18983333333335,0.88536033,233.97223333333332,0.110002722,0.0029175657,0.5445221433333334,442.0371866666667,334.03812666666664,0.14287172,0.2821267333333333,78.66203116666667,27.696586666666665,0.0,333.89670666666666,8.540169333333333,9.040273333333333,7.957787633333333,5.566695966666667
37,US-Ha2,42.5393,-72.1779,2020-08-10 15:53:09,2020-08-10,2020-08-10 11:04:26.304,0.9138028866666668,0.12765834333333334,0.11922149,0.12937629,104.66498200000001,0.7982942466666666,1.0,0.00624,5.964361083333333,0.06239999500000001,195.63991333333334,0.9313333333333333,9.042892333333334,292.8666666666666,2.08,644.7612266666666,562.7377333333334,0.8343740333333334,450.37449,0.15805918333333333,0.004007260933333334,0.5997013866666666,731.6492333333334,645.7977999999999,0.14696017,0.1831478,385.36670000000004,26.877861666666664,0.0,333.8619166666667,7.748072466666667,8.398772666666666,7.424228333333333,4.847343333333334
40,US-Ha2,42.5393,-72.1779,2020-08-20 17:39:50,2020-08-20,2020-08-20 12:51:07.304,0.9073270866666667,0.12740967333333333,0.1508014,0.12937665,287.55077666666665,0.7972059866666666,1.0,0.00408,4.122406799999999,0.040799998,153.49376333333336,0.9686666666666666,30.714099333333333,292.84,1.36,563.5142866666666,460.23235666666665,0.93773222,366.82143333333335,0.055800079333333336,0.005522567926666666,0.4604653533333333,736.9560666666666,564.41688,0.15375216666666666,0.547444,149.87320433333332,22.24625466666667,0.0,333.3533033333333,7.763792166666666,8.355846999999999,7.550646166666667,2.2153326
43,US-Ha2,42.5393,-72.1779,2020-08-28 14:32:56,2020-08-28,2020-08-28 09:44:13.304,0.8976857666666667,0.12741006333333335,0.16688636,0.12937629,297.3376766666667,0.7903359866666667,1.0,0.0042,4.105790416666667,0.042,76.560515,0.9566666666666667,24.97619333333333,290.26666666666665,1.3999999999999997,475.60134,379.9867566666667,0.7908860666666667,301.19882666666666,0.19447951333333333,0.007709015866666666,0.634296,616.1334533333334,476.37835666666666,0.13703529,0.7414516666666667,307.0148266666667,21.126003333333333,0.0,332.29505,7.525029233333334,8.071738999999999,7.3022372,3.4187549666666666
46,US-Ha2,42.5393,-72.1779,2020-10-05 17:21:34,2020-10-05,2020-10-05 12:32:51.304,0.8182365300000001,0.009985128666666667,0.040432622333333335,0.010099917,221.14517,0.7757057866666667,1.0,0.0042,3.300721616666667,0.042,107.648708,0.9706666666666667,17.606494333333334,288.1133333333333,1.3999999999999997,511.20311999999996,380.10617333333334,0.9214746100000001,294.41001666666665,0.05227525266666666,0.02611888633333333,0.4577221633333333,599.4479833333334,512.1699,0.13565154,0.82268988,375.9284866666667,18.241499,0.0,334.3708133333333,7.037677166666666,7.6385689999999995,7.016279666666667,28.549596666666663
49,US-Ha2,42.5393,-72.1779,2020-10-08 16:35:44,2020-10-08,2020-10-08 11:47:01.304,0.7905115,0.02464987,0.0970768,0.025027996,132.21007333333333,0.7473541333333333,1.0,0.0025199999,3.31330315,0.025199998,133.53581666666665,0.976,13.608953999999999,284.5133333333333,0.84,484.86744,329.78645,0.9671193499999999,246.97799,0.026662978,0.006298741233333333,0.38428117,622.27822,485.8347366666667,0.11004971200000001,0.83521429,374.30159333333336,14.118559,0.0,332.6263333333333,6.737994433333333,7.365226333333333,6.891519733333333,10.193393333333333
55,US-Ha2,42.5393,-72.1779,2021-04-03 18:31:15,2021-04-03,2021-04-03 13:42:32.304,0.62704865,0.12740909,0.1077068,0.12937629,110.89189666666668,0.8855171466666666,1.0,0.0018000001,2.8071864333333334,0.018000001,154.53221333333332,0.972,7.932662166666667,281.9533333333333,0.6,520.9662666666667,264.25540333333333,0.7225524433333333,234.31765333333337,0.0150112005,0.26242154666666667,0.3630296933333333,706.70512,522.70448,0.22841709333333335,0.7833880133333334,192.58474666666666,4.896959533333334,0.0,333.18782333333337,6.363791533333334,7.017030366666667,6.6464918,6.772871333333334
61,US-Ha2,42.5393,-72.1779,2021-06-01 19:20:12,2021-06-01,2021-06-01 14:31:29.304,0.5101324733333333,0.09349954500000002,0.031118646666666666,0.09503330166666668,179.28695333333334,0.9063637266666666,1.0,0.0043200003,3.8035259,0.043199999999999995,92.40914333333335,0.9613333333333333,13.628173666666667,291.0,1.4400000000000002,289.0129786666667,299.58975333333336,0.5531444,268.67005,0.03096162133333334,0.41589398000000005,0.4744558233333333,511.0349033333334,430.82805666666667,0.23642917333333335,0.8083760666666667,295.3891733333333,19.804267,0.0,333.4765033333333,7.4768824333333335,8.046490666666665,7.200870666666667,20.96166
64,US-Ha2,42.5393,-72.1779,2021-06-06 17:00:15,2021-06-06,2021-06-06 12:11:32.304,0.8859862366666666,9.986288e-05,0.10647171799999999,9.992313399999999e-05,319.5375933333333,0.8320271900000001,1.0,0.00632,4.4798409,0.06319999666666666,134.21951,0.9633333333333333,33.67659066666667,305.02,2.106666666666667,642.4293066666667,559.05847,0.8454024666666666,465.55608333333333,0.12626153666666667,0.027820741666666666,0.5721671666666667,812.57746,643.5848666666667,0.23479038,0.5155111200000001,304.2955666666667,27.261707333333334,0.0,333.08700666666664,9.09874,9.538797666666667,8.432194333333333,16.495612666666666
67,US-Ha2,42.5393,-72.1779,2021-06-18 12:21:38,2021-06-18,2021-06-18 07:32:55.304,0.8710651633333333,0.010033666,0.10868351666666666,0.010099917,174.14782333333335,0.8283418,1.0,0.0037200002,5.338683499999999,0.0372,103.21385666666667,0.9746666666666667,17.571481000000002,289.1333333333334,1.24,291.6648533333333,215.03723,0.8398758633333334,177.50039,0.12582072333333333,0.03414185153333333,0.5720937366666666,409.82423,292.0820966666667,0.19640969333333333,0.0,1.8431837666666666,16.63415,0.0,332.87605666666667,7.303222033333333,7.896639666666666,7.325370466666667,14.093537
70,US-Ha2,42.5393,-72.1779,2021-06-23 16:30:30,2021-06-23,2021-06-23 11:41:47.304,0.874908,0.010012773333333334,0.11252428333333335,0.010099917,295.1751,0.81243706,1.0,0.0032400002,6.4932739,0.0324,248.73517,0.962,25.211998,286.12,1.08,701.7931,509.6884,0.9179502,414.08978,0.061513625,0.020536147,0.449427,866.2737,702.8812,0.20323231333333333,0.0,8.392277,18.737203,0.0,320.4789,6.446230766666666,7.018647433333332,6.6231572000000005,21.368853
73,US-Ha2,42.5393,-72.1779,2021-06-24 15:42:38,2021-06-24,2021-06-24 10:53:55.304,0.8825256466666667,0.014871157000000001,0.112520207,0.015099913,276.1175,0.8358191,1.0,0.003,5.206722,0.03,142.85706,0.974,28.49868,294.5,1.0,667.1291,523.6712,0.877596,437.74207,0.0516701,0.07049818,0.4561185033333333,833.5452,668.51025,0.19102215,0.79203314,512.1083,21.117926999999998,0.0,346.30667,8.115538,8.627883,7.8627644,17.482677
76,US-Ha2,42.5393,-72.1779,2021-06-27 14:58:32,2021-06-27,2021-06-27 10:09:49.304,0.8612654866666666,0.12740912000000001,0.14655812,0.12938063,347.97104999999993,0.8472937966666666,1.0,0.00612,3.963786366666666,0.061199997,67.21592199999999,0.9460000000000001,24.45491733333333,287.5466666666667,2.04,370.8296066666667,310.85151,0.6189766333333333,263.24656,0.3490996233333334,0.03177840666666667,0.74486437,414.73006333333336,371.37539666666663,0.16758858666666665,0.15834761333333333,203.32171333333335,24.846282000000002,0.0,333.2398733333334,7.264674066666667,7.941668666666666,7.259505133333334,23.334382666666666
79,US-Ha2,42.5393,-72.1779,2021-06-28 14:11:21,2021-06-28,2021-06-28 09:22:38.304,0.8786026533333334,0.12740909333333333,0.14748809,0.1293777,369.2729166666666,0.8073609833333334,1.0,0.0066000004,4.033311516666667,0.066,70.30742333333333,0.9526666666666666,31.78679,298.46,2.2,535.4925333333333,469.0905566666667,0.7791951333333333,378.41463999999996,0.20338544666666666,0.017277962,0.6411166533333333,659.8118066666667,536.4000333333333,0.15092974333333334,0.8621652866666666,379.74059333333327,28.001626666666667,0.0,333.1765633333334,8.530517333333334,8.98808,7.923918666666666,15.522102333333335
82,US-Ha2,42.5393,-72.1779,2021-07-27 20:58:14,2021-07-27,2021-07-27 16:09:31.304,0.8574765866666666,9.803759e-05,0.049759378,9.80744e-05,110.810998,0.8422638133333334,1.0,0.00612,5.129796216666667,0.061199997,87.39015866666666,0.9553333333333333,10.380435499999999,295.74,2.04,335.38870333333335,285.72489333333334,0.8098639099999999,240.77937333333333,0.14098576,0.04887620433333334,0.5935487933333333,387.15575000000007,335.91048,0.21785374333333332,0.9178661833333334,149.60882666666666,26.152148,0.0,333.97146,8.0299541,8.593899666666667,7.5831246666666665,4.230705033333333
85,US-Ha2,42.5393,-72.1779,2021-08-27 14:20:12,2021-08-27,2021-08-27 09:31:29.304,0.83425435,0.010051370166666665,0.08211032333333333,0.010099917,314.1805933333333,0.8514161666666666,1.0,0.00672,4.813001283333333,0.0672,95.63392666666668,0.9553333333333333,26.035748333333334,300.25333333333333,2.24,479.4256666666667,413.88642,0.7514586666666667,351.79803999999996,0.18783476333333335,0.06027422233333333,0.6416262866666668,569.7440133333333,480.27884666666665,0.21344630666666667,0.5226334,241.28424900000002,27.466078666666665,0.0,332.96788666666663,8.647657,9.068978666666666,7.979905666666667,24.932046
88,US-Ha2,42.5393,-72.1779,2021-10-25 15:24:21,2021-10-25,2021-10-25 10:35:38.304,0.7683731333333332,0.0050468245,0.07746747333333333,0.0050945436,44.497027333333335,0.9654412166666667,1.0,0.00552,0.3965526716666667,0.0552,12.209403333333334,0.9173333333333334,4.3158344,275.06666666666666,1.84,39.416443666666666,22.657341333333335,0.18753038666666666,21.769734333333332,0.70012968,0.11049906,0.9345507433333333,67.18935333333333,39.49345433333333,0.23387751,0.0,14.724401666666665,7.998722666666667,0.0,331.55664,5.7419319,6.426808066666666,5.825522366666667,16.366302666666666
